grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass
grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass
grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass
grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass
grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass
grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass
grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass
grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass
grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass
grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass
grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass
grass,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass
grass,,,,,,,,,,,,grass,aligator,aligator,grass,,,,,,,,,,,,,finish,grass
dirt,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,dirt
stone,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,dirt,stone
stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone
stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone
